iter	RMSE
0	1208.04321
1	1157.345256
2	1109.811648
3	1065.26901
4	1023.455138
5	983.767467
6	948.3960238
7	914.7177169
8	884.2482987
9	855.606945
10	828.5642507
11	804.0624415
12	782.0835219
13	762.7086802
14	744.2083078
15	726.1599691
16	709.9818226
17	695.3887512
18	681.976545
19	669.0846999
20	657.8337661
21	647.3817095
22	637.8153388
23	629.0748378
24	621.4271708
25	614.5587067
26	608.3235892
27	601.9941357
28	596.3714115
29	591.6490651
30	587.1021887
31	582.6641761
32	578.9716493
33	575.4553304
34	572.1814186
35	569.2276856
36	566.5233699
37	564.0356667
38	562.0028735
39	559.9492747
40	557.7867479
41	556.117291
42	554.6877939
43	553.2012519
44	551.8582818
45	550.6795613
46	549.6515584
47	548.5458686
48	547.5122618
49	546.6797373
50	545.7221461
51	544.8298077
52	544.1629422
53	543.5211532
54	542.8348431
55	542.1791376
56	541.6357962
57	541.0962649
58	540.5772068
59	540.0478478
60	539.5590573
61	539.0292014
62	538.6005342
63	538.2122315
64	537.8034251
65	537.4604596
66	537.0578544
67	536.7800465
68	536.3859766
69	536.1068132
70	535.706406
71	535.3495345
72	535.0710326
73	534.7255455
74	534.4421329
75	534.2111004
76	533.9785185
77	533.7027802
78	533.4279552
79	533.2199743
80	532.8543188
81	532.5276641
82	532.2726968
83	531.9667993
84	531.690427
85	531.5191284
86	531.2542512
87	530.9595705
88	530.7139656
89	530.449626
90	530.0929887
91	529.8336758
92	529.6375357
93	529.3284787
94	529.1609825
95	529.0460027
96	528.6871726
97	528.4599526
98	528.2967182
99	528.0386717
100	528.0139494
101	527.8849095
102	527.5274191
103	527.3197968
104	527.0475337
105	526.8679744
106	526.5868036
107	526.4226713
108	526.1996992
109	526.1784247
110	525.9438781
111	525.7624922
112	525.5996579
113	525.3083316
114	525.1391761
115	524.9656419
116	524.8349284
117	524.6562189
118	524.5451773
119	524.272638
120	524.0664179
121	523.9400073
122	523.8267236
123	523.6870827
124	523.5609542
125	523.3235919
126	523.2014208
127	522.887653
128	522.6575292
129	522.4694663
130	522.3389758
131	522.2036335
132	521.9447881
133	521.7618136
134	521.6179591
135	521.4659915
136	521.3254014
137	521.0471357
138	520.7223395
139	520.544727
140	520.4413482
141	520.2808292
142	520.0463181
143	519.8287394
144	519.6687215
145	519.5315577
146	519.3554088
147	519.1382107
148	519.0288801
149	518.8396887
150	518.5593683
151	518.4078477
152	518.2763469
153	518.1717955
154	518.0245485
155	517.8359029
156	517.7069683
157	517.4873506
158	517.3958607
159	517.2578183
160	517.085342
161	516.9631685
162	516.8458952
163	516.6579925
164	516.5963507
165	516.5147626
166	516.3645659
167	516.2065004
168	516.0910998
169	515.9203473
170	515.6620575
171	515.3873962
172	515.2033449
173	515.0748264
174	514.9570185
175	514.8863809
176	514.6881549
177	514.5571289
178	514.3606011
179	514.2832548
180	514.1874701
181	514.0559336
182	513.8736854
183	513.5453566
184	513.371061
185	513.1410394
186	512.9683834
187	512.8435026
188	512.699889
189	512.4783983
190	512.3793837
191	512.2459502
192	512.0124054
193	511.8780121
194	511.6954594
195	511.4888216
196	511.2094837
197	511.1322241
198	510.9681773
199	510.7395933
200	510.5178435
201	510.3399481
202	510.1554027
203	509.9105451
204	509.6873744
205	509.5681531
206	509.3622688
207	509.1934562
208	509.0568271
209	508.8519293
210	508.6641191
211	508.481111
212	508.356272
213	508.1927927
214	508.0329372
215	507.8492015
216	507.6831561
217	507.5295608
218	507.3408764
219	507.2244442
220	507.0314447
221	506.807295
222	506.6968277
223	506.5559608
224	506.3898671
225	506.186976
226	506.0406994
227	505.8924339
228	505.6948386
229	505.5806817
230	505.4232535
231	505.2841296
232	505.1017392
233	504.984784
234	504.8170788
235	504.6626081
236	504.4252635
237	504.2232439
238	504.1227313
239	504.0073079
240	503.8567956
241	503.7421844
242	503.6367594
243	503.510103
244	503.3239041
245	503.210199
246	503.0450335
247	502.8983014
248	502.7303534
249	502.6265946
250	502.4508312
251	502.3022048
252	502.1339001
253	502.0399948
254	501.8707655
255	501.6909854
256	501.5441309
257	501.3238701
258	501.2345523
259	501.0807622
260	500.9984451
261	500.9014207
262	500.7803016
263	500.7103375
264	500.5481265
265	500.3190501
266	500.0858472
267	499.9586951
268	499.8875225
269	499.7576482
270	499.5504616
271	499.4156306
272	499.3118715
273	499.2158986
274	499.0475594
275	498.900289
276	498.7994142
277	498.5935121
278	498.4674951
279	498.3702494
280	498.1555476
281	498.0712997
282	497.9709401
283	497.8744169
284	497.7127143
285	497.6604515
286	497.4967306
287	497.3887658
288	497.2885965
289	497.1744807
290	497.0757415
291	496.9201558
292	496.7906179
293	496.6610254
294	496.4572654
295	496.2517666
296	496.1292005
297	496.0078976
298	495.8987378
299	495.807825
300	495.7004039
301	495.5870573
302	495.4876648
303	495.3928933
304	495.2288862
305	495.1331026
306	495.0082866
307	494.9197113
308	494.8150188
309	494.7059581
310	494.5936117
311	494.5014723
312	494.3841378
313	494.3200979
314	494.233936
315	494.1138696
316	493.9900953
317	493.8684981
318	493.7696428
319	493.6556741
320	493.5257752
321	493.4159338
322	493.3414409
323	493.2169087
324	493.0258109
325	492.8427551
326	492.7855998
327	492.7149241
328	492.6301571
329	492.5774201
330	492.4586813
331	492.3177681
332	492.2205352
333	492.1548416
334	492.0591325
335	491.8699061
336	491.7384448
337	491.695504
338	491.6211509
339	491.4981729
340	491.293802
341	491.165157
342	491.0242086
343	490.8557858
344	490.6554575
345	490.4763547
346	490.33811
347	490.2203888
348	490.0496742
349	489.8921903
350	489.7540685
351	489.5958777
352	489.4829422
353	489.4093656
354	489.1639902
355	488.9768668
356	488.8804527
357	488.7717447
358	488.7315881
359	488.5848604
360	488.5068511
361	488.3990898
362	488.3304921
363	488.1747338
364	488.0072079
365	487.8474418
366	487.7302386
367	487.6022873
368	487.4587149
369	487.3678252
370	487.2871913
371	487.1238085
372	487.0235483
373	486.9121972
374	486.8118011
375	486.7500512
376	486.6294071
377	486.4657705
378	486.3284432
379	486.2307783
380	486.119661
381	486.0392466
382	485.9270356
383	485.7864775
384	485.6198152
385	485.5702935
386	485.4733197
387	485.3174739
388	485.1340154
389	485.050493
390	484.9366885
391	484.8063322
392	484.7619101
393	484.6641208
394	484.6078516
395	484.5345009
396	484.431013
397	484.3840997
398	484.2619676
399	484.1342884
400	484.044245
401	483.8985919
402	483.7698855
403	483.6463515
404	483.4991646
405	483.4622477
406	483.4272714
407	483.2939683
408	483.2169991
409	483.1911259
410	483.1232277
411	483.0143091
412	482.8286117
413	482.7568789
414	482.6046812
415	482.3744848
416	482.1965448
417	482.0234647
418	481.9400598
419	481.8916695
420	481.809148
421	481.768244
422	481.6575564
423	481.566256
424	481.4293944
425	481.2080378
426	480.9885507
427	480.8206664
428	480.6903678
429	480.5513162
430	480.4863463
431	480.3932198
432	480.2688837
433	480.109232
434	480.0293965
435	480.0049327
436	479.9810494
437	479.8425016
438	479.7794028
439	479.7014403
440	479.597082
441	479.5554177
442	479.4587078
443	479.3596474
444	479.2350711
445	479.0871771
446	478.9827514
447	478.951871
448	478.9001137
449	478.8781312
450	478.7924631
451	478.7250675
452	478.6416371
453	478.4327834
454	478.241089
455	478.1762552
456	478.1197951
457	477.9996659
458	477.8823232
459	477.7396386
460	477.6739013
461	477.5246287
462	477.4723546
463	477.3643504
464	477.3024259
465	477.1704043
466	477.1017272
467	477.03791
468	476.8875576
469	476.7593958
470	476.7326686
471	476.6479791
472	476.5421438
473	476.4785324
474	476.4152029
475	476.3585411
476	476.2907844
477	476.1548623
478	476.0571952
479	476.0228542
480	475.9524711
481	475.8633036
482	475.7122755
483	475.6415773
484	475.4961214
485	475.3627384
486	475.25862
487	475.1622271
488	475.067665
489	475.0473073
490	474.9721784
491	474.8892712
492	474.7975798
493	474.7110887
494	474.6173861
495	474.5767969
496	474.5162967
497	474.3824954
498	474.2302419
499	474.167889
500	474.028185
501	473.9073848
502	473.8417995
503	473.7268411
504	473.703192
505	473.6667991
506	473.477157
507	473.3992318
508	473.3188923
509	473.2333683
510	473.1452119
511	473.0229556
512	472.8965206
513	472.7793681
514	472.6585247
515	472.5255081
516	472.4634502
517	472.3498684
518	472.3250338
519	472.2684249
520	472.1833174
521	472.0666351
522	472.0022673
523	471.9754366
524	471.9280659
525	471.8071522
526	471.6910611
527	471.5610312
528	471.413589
529	471.3034766
530	471.1916485
531	471.1631906
532	471.1101173
533	471.0142239
534	470.9655591
535	470.9370285
536	470.8327455
537	470.7314411
538	470.6439277
539	470.6201567
540	470.5039427
541	470.3760772
542	470.2960331
543	470.2492283
544	470.2226018
545	470.1856938
546	470.1592765
547	470.0941507
548	470.0210942
549	469.9078732
550	469.8194259
551	469.7331306
552	469.6135682
553	469.4013434
554	469.3602338
555	469.2065659
556	469.1077088
557	468.9809777
558	468.9211103
559	468.8677916
560	468.8500981
561	468.6889845
562	468.5988031
563	468.5627573
564	468.4875217
565	468.4391696
566	468.3210091
567	468.1981896
568	468.1110454
569	468.0155239
570	467.9488618
571	467.8255335
572	467.674363
573	467.6293273
574	467.5960466
575	467.580399
576	467.5637543
577	467.4757843
578	467.4611389
579	467.3009907
580	467.2035247
581	467.1303407
582	467.0521511
583	466.9740069
584	466.8675919
585	466.7885975
586	466.6992312
587	466.6060986
588	466.4867478
589	466.3571589
590	466.2727296
591	466.1254842
592	466.0622513
593	465.9441343
594	465.8320685
595	465.7533622
596	465.6273088
597	465.5579749
598	465.5218827
599	465.4279358
600	465.3917389
601	465.3297922
602	465.2408512
603	465.0900651
604	465.0704551
605	465.0044618
606	464.8730957
607	464.7694654
608	464.6925509
609	464.5921356
610	464.55589
611	464.3863677
612	464.3556991
613	464.2138895
614	464.127479
615	463.9905243
616	463.8829239
617	463.7749444
618	463.7282927
619	463.6665218
620	463.625698
621	463.4976014
622	463.4361853
623	463.3152324
624	463.2244222
625	463.0818021
626	463.039686
627	462.9264831
628	462.8441099
629	462.8154425
630	462.7925201
631	462.6781567
632	462.5035783
633	462.4366366
634	462.3355058
635	462.2320198
636	462.1590202
637	462.0962688
638	461.9945277
639	461.9559791
640	461.8417907
641	461.8022183
642	461.7870623
643	461.6905973
644	461.5691962
645	461.4737613
646	461.2808071
647	461.176411
648	461.1616438
649	461.1362453
650	461.0332442
651	460.9910811
652	460.820545
653	460.7465423
654	460.7335699
655	460.7198465
656	460.6867553
657	460.6284967
658	460.5676794
659	460.4945883
660	460.3908803
661	460.2777132
662	460.1982909
663	460.0440911
664	460.0331202
665	459.9650865
666	459.9147106
667	459.8364104
668	459.7768568
669	459.7643674
670	459.6245561
671	459.5652811
672	459.4599925
673	459.3865474
674	459.3269546
675	459.2288825
676	459.1079142
677	458.9854635
678	458.833199
679	458.6756848
680	458.6502262
681	458.6318913
682	458.5748837
683	458.4980313
684	458.3407868
685	458.2695842
686	458.1553186
687	458.0374456
688	457.88826
689	457.7957111
690	457.7322496
691	457.5867404
692	457.5458224
693	457.4390624
694	457.3324957
695	457.2913769
696	457.2365015
697	457.1377496
698	456.926735
699	456.8131917
700	456.6940962
701	456.6185156
702	456.4991431
703	456.4022301
704	456.3577977
705	456.2443852
706	456.2192935
707	456.1456222
708	455.9956904
709	455.9385747
710	455.8774371
711	455.7514128
712	455.62855
713	455.5759695
714	455.4319967
715	455.3706967
716	455.25178
717	455.1633817
718	455.1307959
719	455.0512396
720	454.9461995
721	454.9181706
722	454.799874
723	454.7184231
724	454.6056344
725	454.5510625
726	454.4116855
727	454.3225723
728	454.193166
729	454.0575687
730	453.9571192
731	453.8990961
732	453.8401748
733	453.7442391
734	453.6688526
735	453.6372777
736	453.5821806
737	453.4721538
738	453.4320628
739	453.2971433
740	453.2386383
741	453.1490273
742	453.1320436
743	453.005248
744	452.9865382
745	452.9138361
746	452.7917768
747	452.7218751
748	452.6583641
749	452.5935631
750	452.5136605
751	452.3818011
752	452.2961198
753	452.1332229
754	452.0454309
755	451.987696
756	451.8932317
757	451.8321418
758	451.7925064
759	451.7184836
760	451.5816506
761	451.4747616
762	451.4419996
763	451.3834459
764	451.2799157
765	451.156473
766	451.0778335
767	451.0084249
768	450.9823557
769	450.9380866
770	450.8468738
771	450.6997207
772	450.6929666
773	450.5917765
774	450.5690461
775	450.5364121
776	450.5247441
777	450.3943748
778	450.3131543
779	450.228207
780	450.1334972
781	450.0435532
782	450.034
783	449.9750125
784	449.889336
785	449.8663235
786	449.8226328
787	449.8090728
788	449.6950323
789	449.6447158
790	449.5895779
791	449.4454145
792	449.2996234
793	449.2053312
794	449.102361
795	448.9811217
796	448.8660576
797	448.770028
798	448.6947663
799	448.6445215
800	448.5274127
801	448.4831589
802	448.3828995
803	448.17594
804	448.1306834
805	448.0215754
806	447.9749604
807	447.8865986
808	447.8198408
809	447.773276
810	447.702375
811	447.6914405
812	447.6374291
813	447.5363532
814	447.4930964
815	447.3905996
816	447.2687591
817	447.1968813
818	447.0704614
819	446.9497566
820	446.7336643
821	446.6057995
822	446.5231434
823	446.4746845
824	446.4188152
825	446.3075867
826	446.1924574
827	446.1244194
828	446.035089
829	445.9803394
830	445.9717453
831	445.9485395
832	445.850456
833	445.7933578
834	445.6507167
835	445.5501489
836	445.4670569
837	445.3087133
838	445.2527485
839	445.1947189
840	445.1648492
841	445.1145919
842	445.0393251
843	444.926971
844	444.8231439
845	444.7683199
846	444.6359676
847	444.4757631
848	444.4197136
849	444.3793275
850	444.3262319
851	444.2685001
852	444.2141303
853	444.1065142
854	444.023134
855	443.9491674
856	443.8473442
857	443.8063286
858	443.7704273
859	443.6963189
860	443.5979363
861	443.499247
862	443.3534372
863	443.2752686
864	443.2427009
865	443.2075198
866	443.1970106
867	443.0979874
868	443.00683
869	442.9339302
870	442.8170742
871	442.7114581
872	442.6680662
873	442.5810374
874	442.5235488
875	442.5065975
876	442.4526919
877	442.2911912
878	442.2388397
879	442.1995272
880	442.1296364
881	442.0653453
882	441.9764933
883	441.8995812
884	441.7733001
885	441.7218252
886	441.6685013
887	441.5873889
888	441.4616409
889	441.3572593
890	441.3059784
891	441.2492901
892	441.1433841
893	441.0762162
894	440.9736708
895	440.8950479
896	440.8464654
897	440.8076278
898	440.6967462
899	440.6528594
900	440.6255693
901	440.532926
902	440.4767355
903	440.3855273
904	440.3402945
905	440.252016
906	440.2100485
907	440.0940281
908	440.0155785
909	439.9709612
910	439.8809835
911	439.8187025
912	439.6939897
913	439.6563599
914	439.6251748
915	439.5723694
916	439.4962125
917	439.4743156
918	439.3640779
919	439.3015689
920	439.2363607
921	439.1736012
922	439.053691
923	438.9867702
924	438.9361316
925	438.8567837
926	438.8096829
927	438.7534865
928	438.6919985
929	438.6836955
930	438.5746765
931	438.4516438
932	438.3845534
933	438.2888323
934	438.2248654
935	438.170871
936	438.1597552
937	438.118661
938	438.0244298
939	437.9341059
940	437.8607248
941	437.781844
942	437.696248
943	437.5950993
944	437.5402248
945	437.4542424
946	437.3796753
947	437.2810327
948	437.1724827
949	437.0724176
950	436.950721
951	436.8380647
952	436.7725335
953	436.6682012
954	436.6022856
955	436.5339368
956	436.4913269
957	436.4236845
958	436.3849698
959	436.2878553
960	436.2189455
961	436.1830186
962	436.0646698
963	435.9672975
964	435.8633292
965	435.7829844
966	435.7592529
967	435.6468171
968	435.6133492
969	435.5676612
970	435.5109767
971	435.5043249
972	435.4396188
973	435.3277671
974	435.245353
975	435.183142
976	435.0962197
977	435.0699203
978	435.007674
979	434.9633528
980	434.8221397
981	434.7703293
982	434.6570824
983	434.6127569
984	434.5249165
985	434.402328
986	434.3694907
987	434.3254356
988	434.2827935
989	434.2600362
990	434.1652149
991	434.0637852
992	433.9809986
993	433.9067464
994	433.8564499
995	433.7863757
996	433.6934618
997	433.6068774
998	433.5129155
999	433.4384119
