iter	Passed	Remaining
0	2	2171
1	4	2153
2	6	2185
3	8	2186
4	11	2192
5	13	2249
6	16	2273
7	18	2255
8	20	2239
9	22	2221
10	24	2210
11	26	2196
12	29	2241
13	33	2330
14	35	2337
15	38	2337
16	40	2335
17	42	2338
18	45	2365
19	49	2406
20	51	2415
21	54	2417
22	56	2409
23	59	2407
24	62	2429
25	64	2424
26	67	2414
27	69	2398
28	71	2386
29	73	2375
30	75	2374
31	78	2389
32	81	2381
33	83	2379
34	85	2367
35	87	2355
36	90	2342
37	92	2351
38	115	2856
39	125	3003
40	134	3142
41	143	3269
42	152	3384
43	161	3516
44	168	3577
45	174	3613
46	178	3622
47	182	3620
48	186	3610
49	190	3616
50	193	3599
51	196	3577
52	198	3555
53	201	3526
54	204	3507
55	206	3486
56	208	3457
57	211	3429
58	213	3400
59	215	3372
60	217	3344
61	219	3318
62	222	3302
63	224	3280
64	226	3255
65	228	3233
66	230	3209
67	232	3186
68	234	3162
69	236	3144
70	239	3128
71	241	3108
72	243	3090
73	245	3070
74	247	3053
75	249	3035
76	252	3023
77	262	3108
78	269	3138
79	274	3157
80	278	3161
81	282	3164
82	287	3171
83	290	3168
84	293	3156
85	295	3145
86	298	3133
87	301	3124
88	304	3116
89	306	3102
90	309	3086
91	311	3072
92	313	3057
93	316	3047
94	319	3044
95	321	3030
96	324	3016
97	326	3005
98	329	2994
99	333	2997
100	334	2977
101	336	2963
102	338	2950
103	340	2937
104	343	2925
105	345	2916
106	348	2909
107	350	2897
108	353	2885
109	354	2865
110	356	2854
111	358	2842
112	360	2832
113	363	2825
114	365	2814
115	368	2804
116	370	2793
117	372	2783
118	374	2774
119	377	2765
120	380	2762
121	382	2755
122	384	2745
123	387	2736
124	389	2727
125	392	2719
126	394	2711
127	396	2704
128	399	2695
129	401	2686
130	403	2678
131	405	2669
132	408	2661
133	411	2660
134	414	2655
135	417	2649
136	419	2641
137	421	2635
138	424	2627
139	437	2686
140	439	2680
141	442	2675
142	445	2670
143	448	2663
144	450	2655
145	452	2648
146	455	2640
147	457	2633
148	460	2629
149	462	2623
150	465	2615
151	467	2607
152	469	2599
153	471	2592
154	474	2588
155	477	2583
156	479	2576
157	482	2571
158	484	2564
159	487	2557
160	489	2552
161	492	2547
162	494	2540
163	496	2533
164	498	2524
165	500	2516
166	502	2508
167	505	2501
168	507	2494
169	509	2487
170	511	2480
171	513	2473
172	515	2466
173	518	2459
174	520	2451
175	522	2447
176	525	2441
177	527	2434
178	529	2426
179	530	2418
180	532	2411
181	534	2403
182	536	2397
183	539	2391
184	541	2384
185	543	2378
186	545	2370
187	547	2363
188	549	2356
189	551	2349
190	553	2344
191	555	2338
192	558	2333
193	560	2327
194	562	2320
195	564	2313
196	566	2307
197	567	2300
198	570	2296
199	572	2291
200	574	2284
201	576	2278
202	578	2272
203	580	2265
204	582	2259
205	584	2253
206	587	2249
207	589	2243
208	591	2237
209	593	2231
210	595	2225
211	597	2219
212	599	2213
213	601	2208
214	603	2204
215	605	2198
216	607	2192
217	609	2186
218	611	2181
219	613	2175
220	615	2171
221	618	2167
222	620	2162
223	622	2156
224	624	2151
225	626	2146
226	628	2141
227	631	2137
228	634	2136
229	636	2131
230	638	2126
231	640	2120
232	642	2115
233	644	2110
234	646	2105
235	649	2101
236	651	2097
237	653	2093
238	656	2088
239	658	2084
240	660	2079
241	662	2074
242	664	2069
243	666	2066
244	669	2062
245	671	2057
246	673	2051
247	675	2046
248	677	2042
249	679	2037
250	681	2033
251	683	2029
252	685	2025
253	687	2020
254	689	2015
255	692	2011
256	694	2006
257	696	2002
258	698	1999
259	700	1994
260	702	1989
261	704	1985
262	706	1980
263	708	1976
264	710	1971
265	713	1968
266	715	1964
267	717	1960
268	719	1955
269	721	1951
270	723	1946
271	725	1942
272	727	1937
273	730	1934
274	732	1930
275	734	1926
276	736	1921
277	738	1917
278	740	1913
279	742	1908
280	744	1905
281	749	1908
282	751	1904
283	753	1899
284	755	1895
285	757	1891
286	759	1887
287	762	1884
288	764	1880
289	766	1876
290	768	1872
291	770	1868
292	772	1864
293	774	1859
294	776	1856
295	779	1853
296	781	1849
297	783	1845
298	785	1841
299	787	1837
300	789	1833
301	791	1829
302	793	1825
303	795	1822
304	797	1818
305	799	1814
306	801	1810
307	803	1806
308	805	1802
309	807	1798
310	810	1796
311	812	1792
312	814	1788
313	816	1784
314	818	1780
315	820	1776
316	822	1772
317	877	1880
318	885	1890
319	894	1901
320	903	1910
321	911	1919
322	916	1921
323	921	1922
324	925	1922
325	929	1921
326	932	1919
327	936	1917
328	939	1915
329	941	1912
330	944	1908
331	947	1906
332	950	1903
333	952	1899
334	955	1897
335	958	1894
336	961	1890
337	963	1886
338	965	1883
339	968	1879
340	971	1876
341	974	1874
342	976	1871
343	979	1867
344	981	1863
345	984	1860
346	987	1858
347	990	1854
348	992	1850
349	994	1846
350	996	1842
351	998	1838
352	1000	1834
353	1003	1830
354	1006	1827
355	1008	1823
356	1010	1820
357	1012	1816
358	1014	1811
359	1016	1807
360	1019	1804
361	1021	1800
362	1023	1796
363	1025	1792
364	1027	1788
365	1029	1783
